,Offence,State,0–19 years,20–34 years,35–54 years,55 years and over,Female,Male,Community,Other location,Residential,Investigation not finalised,Total finalised,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Assault,ACT,406.0,803.0,705.0,162.0,957.0,1119,826,190,1130,1006,1215,np,np,np,1806.0,1689.0,1665.0,1684.0,1744.0,1955.0,1989.0,2001.0,1768.0,1771.0,1968.0,2195.0,2336.0,2257.0,2352.0,2237.0,2025.0,1840.0,1728.0,1919.0,2327.0,2364.0,2343.0,2399.0,2215.0
1,Assault,NSW,12228.0,23579.0,21321.0,6179.0,29375.0,33932,16908,9829,37858,23671,41233,np,np,37863.0,47828.0,55995.0,59219.0,63813.0,68714.0,75461.0,80028.0,79890.0,78305.0,81165.0,82773.0,84852.0,79846.0,75814.0,73968.0,71165.0,68745.0,68963.0,65576.0,65140.0,65260.0,65460.0,66111.0,67661.0,64907.0
2,Assault,NT,1137.0,3512.0,2972.0,468.0,5247.0,2842,4025,1548,2635,3199,5003,np,np,2473.0,2628.0,2576.0,2503.0,2567.0,2938.0,2950.0,3428.0,3708.0,3384.0,3979.0,4348.0,5161.0,5262.0,6488.0,6883.0,6749.0,7111.0,7967.0,7251.0,6987.0,6832.0,7715.0,7365.0,6730.0,8200.0
3,Assault,QLD,npnpnpnpnpnp,npnpnpnp,npnpnpnp,npnpnp,npnpnpnpnpnpnpnp,npnpnpnpnpnpnpnpnp,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
4,Assault,SA,2391.0,6543.0,6246.0,1677.0,8946.0,7911,5164,1765,10292,9902,7324,np,np,13454.0,13266.0,13729.0,14886.0,13862.0,15424,16291.0,16542.0,16003.0,14881.0,15407.0,16176.0,16951.0,17132.0,16956.0,15901.0,16243.0,15163.0,15220.0,16005.0,17270.0,16978.0,16213.0,16580.0,16165.0,17226.0
5,Assault,TAS,490.0,1411.0,1171.0,292.0,1775.0,1589,1004,462,1946,1079,2338,np,np,2041.0,2219.0,1980.0,2234.0,2566.0,2720.0,3485.0,3647.0,3767.0,3974.0,4550.0,4120.0,4061.0,3735.0,3533.0,np,np,np,np,2754.0,2932.0,2944.0,3193.0,3256.0,3365.0,3414.0
6,Assault,VIC,npnpnpnpnpnp,npnpnpnp,npnpnpnp,npnpnp,npnpnpnpnpnpnpnp,npnpnpnpnpnpnpnpnp,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
7,Assault,WA,5048.0,13826.0,12382.0,2313.0,20176.0,13393,7534,3554,22780,6658,27532,np,np,10993.0,12343.0,13795.0,14222.0,14231.0,14136.0,15180.0,15280.0,15327.0,18271.0,20387.0,21961.0,21442.0,21144.0,21965.0,20925.0,21597.0,23120.0,25307.0,24996.0,29351.0,32252.0,30578.0,29858.0,31097.0,34191.0
8,Blackmail Extortion,ACT,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Blackmail Extortion,NSW,16,41,29,3,17,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
